Start 5h:51m:20s, Update intervall 5 ms
Time [s], Button-press [], Acceleration_x [m/s^2], Acceleration_y [m/s^2], Acceleration_z [m/s^2], Angular-velocity_x [Deg/s], Angular-velocity_y [Deg/s], Angular-velocity_z [Deg/s]
0.000,      long,   9.38,   2.50,   3.56,    -1.94,     3.25,    26.69
0.005,          ,   9.38,   2.50,   3.56,    -1.94,     3.25,    26.69
0.010,          ,   8.74,   3.01,   3.51,     0.19,     1.00,    25.12
0.015,          ,   9.59,   1.78,   3.51,     0.06,     0.19,    26.12
0.025,          ,   9.59,   1.78,   3.51,     0.06,     0.19,    26.12
0.030,          ,   9.58,   1.13,   3.77,    -0.94,     4.00,    29.69
0.035,          ,   9.58,   1.13,   3.77,    -0.94,     4.00,    29.69
0.040,          ,   7.25,   1.02,   2.93,    -2.06,    18.12,    35.31
0.045,          ,   7.25,   1.02,   2.93,    -2.06,    18.12,    35.31
0.050,          ,   7.13,   0.76,   3.09,    -3.50,    10.19,    34.38
0.055,          ,   7.13,   0.76,   3.09,    -3.50,    10.19,    34.38
0.060,          ,   7.13,   0.30,   3.19,    -3.69,    -2.69,    26.50
0.065,          ,   7.13,   0.30,   3.19,    -3.69,    -2.69,    26.50
0.070,          ,   7.21,   0.68,   3.86,    -3.00,   -20.88,    18.50
0.075,          ,   7.21,   0.68,   3.86,    -2.44,   -42.00,    14.38
0.085,          ,  10.38,   1.36,   3.48,    -2.44,   -42.00,    14.38
0.090,          ,  12.02,   2.04,   3.77,    -2.69,   -52.31,     6.31
0.095,          ,  12.02,   2.04,   3.77,    -2.69,   -52.31,     6.31
0.100,          ,  11.06,   1.68,   2.90,    -2.69,   -16.19,     1.62
0.105,          ,  11.06,   1.68,   2.90,    -2.69,   -16.19,     1.62
0.110,          ,  10.20,   1.35,   2.47,    -2.06,    -3.44,     3.69
0.115,          ,  10.20,   1.35,   2.47,    -2.06,    -3.44,     3.69
0.120,          ,  10.25,   0.94,   2.73,    -3.69,   -15.81,    12.06
0.125,          ,  10.25,   0.94,   2.73,    -4.19,   -15.38,    24.81
0.130,          ,   8.93,   1.09,   2.80,    -4.19,   -15.38,    24.81
0.150,          ,   8.93,   1.09,   2.80,    -3.50,   -22.44,    28.81
0.155,          ,   8.25,   1.33,   2.96,     0.25,   -53.62,     9.44
0.160,          ,   9.92,   1.87,   3.49,     0.25,   -53.62,     9.44
0.165,          ,   9.77,   1.25,   3.10,    -2.00,   -37.44,     4.88
0.175,          ,   9.77,   1.25,   3.10,    -2.00,   -37.44,     4.88
0.180,          ,   9.65,   0.71,   3.01,    -3.62,   -25.44,     4.25
0.185,          ,   9.65,   0.71,   3.01,    -3.62,   -25.44,     4.25
0.190,          ,   9.52,   0.84,   2.80,    -1.50,   -21.44,     6.00
0.195,          ,   9.52,   0.84,   2.80,    -0.44,   -17.25,    10.62
0.200,          ,   8.21,   2.06,   2.92,    -0.44,   -17.25,    10.62
0.205,          ,   8.21,   2.06,   2.92,    -4.12,    -3.06,    13.81
0.210,          ,   6.19,   2.55,   3.31,    -4.12,    -3.06,    13.81
0.215,          ,   6.19,   2.55,   3.31,    -9.19,     7.69,    13.25
0.225,          ,   3.61,   2.19,   2.82,    -9.19,     7.69,    13.25
0.230,          ,   1.69,   2.09,   2.41,    -9.25,    -9.25,     7.94
0.235,          ,   1.69,   2.09,   2.41,    -9.25,    -9.25,     7.94
0.240,          ,   3.58,   0.95,   2.38,    -7.62,   -57.00,    -4.88
0.245,          ,   3.58,   0.95,   2.38,    -7.62,   -57.00,    -4.88
0.250,          ,   6.32,   0.45,   2.12,    -6.12,  -126.62,   -15.38
0.255,          ,   6.32,   0.45,   2.12,    -6.12,  -126.62,   -15.38
0.260,          ,   8.54,   1.73,   1.14,    -0.62,  -170.00,   -20.00
0.265,          ,   8.54,   1.73,   1.14,    -0.62,  -170.00,   -20.00
0.275,          ,  10.98,   1.92,   1.47,    13.69,  -205.50,   -26.00
0.280,          ,  10.99,   1.15,   2.04,    13.50,  -256.88,   -29.75
0.285,          ,  10.99,   1.15,   2.04,    13.50,  -256.88,   -29.75
0.290,          ,   9.73,  -2.17,   0.99,   -11.00,  -264.19,   -29.00
0.295,          ,   9.73,  -2.17,   0.99,   -11.06,  -275.50,   -25.00
0.300,          ,  10.91,  -0.90,  -2.03,   -11.06,  -275.50,   -25.00
0.320,          ,  10.91,  -0.90,  -2.03,     2.25,  -252.50,   -26.50
0.325,          ,  16.55,   1.84,  -2.60,    16.94,  -137.50,    -7.88
0.335,          ,  14.25,   2.85,   1.17,    16.94,  -137.50,    -7.88
0.340,          ,  10.98,   2.03,  -0.96,    -9.88,  -148.38,     9.06
0.345,          ,  10.98,   2.03,  -0.96,    -9.88,  -148.38,     9.06
0.350,          ,  11.37,   2.06,  -1.44,    -9.94,  -166.19,    -1.50
0.355,          ,  11.37,   2.06,  -1.44,    -9.94,  -166.19,    -1.50
0.360,          ,  13.00,   1.13,  -1.06,   -18.12,  -134.75,   -14.19
0.365,          ,  13.00,   1.13,  -1.06,    -6.19,   -49.81,   -17.19
0.370,          ,  11.10,   1.07,  -1.54,    -6.19,   -49.81,   -17.19
0.375,          ,  10.77,   1.53,  -1.79,    -3.50,   -14.31,   -20.19
0.385,          ,  10.77,   1.53,  -1.79,    -3.50,   -14.31,   -20.19
0.390,          ,  11.28,   2.01,  -0.81,     1.19,   -24.19,   -17.69
0.395,          ,  11.28,   2.01,  -0.81,     1.19,   -24.19,   -17.69
0.400,          ,   9.88,   1.81,  -0.05,     2.56,   -53.31,   -10.69
0.405,          ,   9.88,   1.81,  -0.05,     2.56,   -53.31,   -10.69
0.410,          ,   9.24,   1.73,  -0.87,   -13.06,   -77.94,    -1.00
0.415,          ,   9.24,   1.73,  -0.87,   -29.00,   -80.88,     3.69
0.425,          ,   8.85,   1.50,  -0.92,   -29.00,   -80.88,     3.69
0.430,          ,   7.96,   0.79,  -1.01,   -35.25,   -71.88,     1.38
0.435,          ,   7.96,   0.79,  -1.01,   -35.25,   -71.88,     1.38
0.440,          ,   7.73,   0.60,  -1.18,   -26.06,   -83.69,    -5.50
0.445,          ,   7.73,   0.60,  -1.18,   -26.06,   -83.69,    -5.50
0.450,          ,   8.02,   0.53,  -1.77,   -11.81,  -136.75,    -6.31
0.455,          ,   8.02,   0.53,  -1.77,   -11.81,  -136.75,    -6.31
0.460,          ,   8.58,   2.01,  -1.07,    -4.44,  -213.12,    -3.12
0.470,          ,   9.57,   1.68,  -3.21,   -15.38,  -259.44,    -8.75
0.475,          ,   9.57,   1.68,  -3.21,   -15.38,  -259.44,    -8.75
0.495,          ,  10.98,   1.26,  -2.34,   -20.62,  -274.31,   -11.56
0.500,          ,   7.49,   1.02,  -4.05,   -27.88,  -170.62,    -0.31
0.505,          ,   7.49,   1.02,  -4.05,   -27.88,  -170.62,    -0.31
0.510,          ,   7.81,   0.90,  -5.12,   -26.81,  -202.50,     6.38
0.515,          ,   7.81,   0.90,  -5.12,   -26.81,  -202.50,     6.38
0.520,          ,  10.13,   1.16,  -2.51,   -13.19,  -260.69,    12.56
0.525,          ,  10.13,   1.16,  -2.51,   -14.19,  -244.06,    19.00
0.535,          ,  11.73,   1.00,  -0.83,   -14.19,  -244.06,    19.00
0.540,          ,  12.18,   2.27,   3.30,   -25.19,  -149.19,    21.69
0.545,          ,  12.18,   2.27,   3.30,   -25.19,  -149.19,    21.69
0.550,          ,  15.07,   5.10,   2.59,   -44.00,   -10.44,    25.19
0.555,          ,  15.07,   5.10,   2.59,   -44.00,   -10.44,    25.19
0.560,          ,  11.59,  -4.21,  -0.85,   -86.75,   134.25,    46.25
0.565,          ,  11.59,  -4.21,  -0.85,   -65.19,   311.12,    42.56
0.575,          ,  11.26,   2.54,  -4.98,   -65.19,   311.12,    42.56
0.580,          ,   5.45,   0.51,  -9.39,   -42.31,   307.31,    40.50
0.585,          ,   5.45,   0.51,  -9.39,   -42.31,   307.31,    40.50
0.590,          ,   5.45,   1.51,  -7.60,   -13.06,   119.19,    42.31
0.595,          ,   5.45,   1.51,  -7.60,   -13.06,   119.19,    42.31
0.600,          ,   7.65,   1.13,  -3.07,    -6.00,   -91.12,    40.50
0.605,          ,   7.65,   1.13,  -3.07,    -6.00,   -91.12,    40.50
0.610,          ,  12.55,   1.39,  -1.23,    -2.50,  -143.69,    24.50
0.620,          ,  12.68,  -3.69,  -1.10,     6.81,    44.44,     0.25
0.625,          ,  12.68,  -3.69,  -1.10,     6.81,    44.44,     0.25
0.630,          ,  12.76,   8.16,  -1.66,    37.88,   215.88,   -29.31
0.635,          ,  12.76,   8.16,  -1.66,    37.88,   215.88,   -29.31
0.640,          ,  10.48,  -1.43, -14.86,    38.69,   384.12,   -21.12
0.660,          ,  10.48,  -1.43, -14.86,    56.88,   368.25,    -9.12
0.665,          ,   5.64,   1.58, -11.83,    62.62,    96.94,    -2.56
0.675,          ,   6.11,   2.49,  -2.30,    66.75,   -80.44,    -2.50
0.680,          ,   9.13,   0.81,   0.51,    60.88,  -134.69,    -6.31
0.685,          ,   9.13,   0.81,   0.51,    60.88,  -134.69,    -6.31
0.690,          ,   9.65,   1.86,  -0.29,    58.19,     1.06,    -7.19
0.695,          ,   9.65,   1.86,  -0.29,    58.19,     1.06,    -7.19
0.700,          ,   8.36,   1.14,  -4.48,    45.88,   157.94,    -5.88
0.705,          ,   8.36,   1.14,  -4.48,    45.88,   157.94,    -5.88
0.710,          ,   9.01,   1.60,  -7.97,    28.12,   143.69,    -7.00
0.715,          ,   7.39,   1.16,  -4.05,    10.81,    39.69,    -8.69
0.725,          ,   7.39,   1.16,  -4.05,    10.81,    39.69,    -8.69
0.730,          ,  12.22,   1.28,   0.17,   -12.00,   -84.12,    -7.75
0.735,          ,  12.22,   1.28,   0.17,   -12.00,   -84.12,    -7.75
0.740,          ,  11.33,   1.16,   0.49,   -33.69,   -46.50,     0.12
0.745,          ,  11.33,   1.16,   0.49,   -42.50,    55.69,    11.44
0.750,          ,   9.17,   1.18,  -0.95,   -42.50,    55.69,    11.44
0.755,          ,   9.17,   1.18,  -0.95,   -42.50,    55.69,    11.44
0.760,          ,   8.83,   1.12,  -4.10,   -36.19,    59.75,    19.50
0.765,          ,   8.83,   1.12,  -4.10,   -19.06,     5.56,    19.56
0.775,          ,   8.86,   1.27,  -1.26,   -19.06,     5.56,    19.56
0.780,          ,  11.26,   1.05,  -0.68,    -5.06,   -54.25,    13.12
0.785,          ,  11.26,   1.05,  -0.68,    -5.06,   -54.25,    13.12
0.790,          ,  12.11,   1.30,  -0.53,     5.56,   -25.75,     4.88
0.795,          ,  12.11,   1.30,  -0.53,     9.81,    39.06,     1.25
0.800,          ,  10.77,   1.61,   0.32,     9.81,    39.06,     1.25
