Start 1h:14m:37s, Update intervall 5 ms
Time [s], Button-press [], Acceleration_x [m/s^2], Acceleration_y [m/s^2], Acceleration_z [m/s^2], Angular-velocity_x [Deg/s], Angular-velocity_y [Deg/s], Angular-velocity_z [Deg/s], Quaternion_w [], Quaternion_x [], Quaternion_y [], Quaternion_z [], Euler-yaw [Deg], Euler-roll [Deg], Euler-pitch [Deg]
0.000,      long,   9.27,   1.25,   1.73,    40.31,    19.88,    15.69, -0.34,  0.55,  0.27,  0.71,  128.88,   75.75,   -3.75
0.005,          ,   9.27,   1.25,   1.73,    41.25,    16.19,    13.12, -0.34,  0.55,  0.27,  0.71,  128.88,   75.75,   -3.75
0.010,          ,   9.13,   1.10,   1.65,    41.25,    16.19,    13.12, -0.34,  0.55,  0.27,  0.71,  128.88,   75.75,   -3.75
0.020,          ,   9.19,   0.93,   1.83,    40.44,    12.75,    11.69, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.025,          ,   9.75,   0.47,   1.77,    39.88,    15.62,    11.94, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.030,          ,   9.75,   0.47,   1.77,    39.88,    15.62,    11.94, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.035,          ,   9.91,   0.32,   1.54,    40.69,    21.38,    12.38, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.040,          ,   9.91,   0.32,   1.54,    40.69,    21.38,    12.38, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.045,          ,  10.11,   0.12,   1.22,    41.75,    24.12,    13.50, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.050,          ,  10.11,   0.12,   1.22,    41.75,    24.12,    13.50, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.055,          ,  10.38,   0.22,   0.99,    41.75,    28.69,    15.31, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.060,          ,  10.38,   0.22,   0.99,    41.75,    28.69,    15.31, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.065,          ,  10.03,   0.37,   1.11,    39.06,    27.25,    16.94, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.070,          ,  10.03,   0.37,   1.11,    34.38,    20.25,    18.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
