Start 1h:3m:14s, Update intervall 5 ms
Time [s], Button-press [], Acceleration_x [m/s^2], Acceleration_y [m/s^2], Acceleration_z [m/s^2], Angular-velocity_x [Deg/s], Angular-velocity_y [Deg/s], Angular-velocity_z [Deg/s]
0.000,      long,   8.06,  -0.77,   3.23,    65.94,   -32.12,    60.19
0.005,          ,   8.42,  -0.80,   3.24,    70.06,   -36.44,    59.19
0.010,          ,   8.42,  -0.80,   3.24,    70.06,   -36.44,    59.19
0.020,          ,   8.52,  -0.71,   3.45,    73.44,   -33.25,    57.56
0.025,          ,   8.52,  -0.71,   3.45,    73.44,   -33.25,    57.56
0.030,          ,   8.52,  -0.74,   3.88,    76.50,   -25.00,    54.94
0.035,          ,   8.52,  -0.74,   3.88,    76.50,   -25.00,    54.94
0.040,          ,   9.19,  -0.70,   4.06,    76.88,   -18.88,    52.56
0.045,          ,   9.19,  -0.70,   4.06,    74.69,   -12.88,    51.19
0.050,          ,   9.58,  -0.60,   3.76,    74.69,   -12.88,    51.19
0.055,          ,   9.86,  -0.65,   3.95,    73.19,    -5.44,    51.00
0.065,          ,   9.86,  -0.65,   3.95,    73.19,    -5.44,    51.00
0.070,          ,  10.25,  -0.89,   4.50,    74.56,    -1.06,    50.50
0.075,          ,  10.25,  -0.89,   4.50,    74.56,    -1.06,    50.50
0.080,          ,  11.60,  -1.93,   5.17,    75.25,     1.75,    51.62
0.085,          ,  11.60,  -1.93,   5.17,    75.25,     1.75,    51.62
0.090,          ,  12.24,  -2.07,   5.59,    77.81,     2.44,    54.69
0.095,          ,  12.24,  -2.07,   5.59,    78.75,     7.31,    57.81
0.100,          ,  12.61,  -1.89,   5.88,    78.75,     7.31,    57.81
0.105,          ,  12.82,  -1.35,   5.97,    76.62,     9.69,    60.50
0.110,          ,  12.82,  -1.35,   5.97,    76.62,     9.69,    60.50
0.115,          ,  12.11,   0.39,   5.20,    70.06,     5.56,    62.12
0.125,          ,  12.11,   0.39,   5.20,    70.06,     5.56,    62.12
0.130,          ,  11.58,   0.75,   6.12,    64.25,     0.44,    61.44
0.135,          ,  11.58,   0.75,   6.12,    64.25,     0.44,    61.44
0.150,          ,  10.68,   0.20,   5.55,    59.88,    -3.88,    58.19
0.160,          ,   9.36,  -0.01,   4.58,    62.19,    -8.06,    53.25
0.165,          ,   9.36,  -0.01,   4.58,    64.62,   -14.69,    49.44
0.170,          ,   8.71,  -0.06,   4.49,    64.62,   -14.69,    49.44
0.175,          ,   8.71,  -0.06,   4.49,    68.00,    -8.69,    44.38
0.180,          ,   7.89,  -0.15,   4.31,    68.00,    -8.69,    44.38
0.185,          ,   7.29,  -0.24,   3.99,    68.56,    -5.00,    40.00
0.190,          ,   7.29,  -0.24,   3.99,    68.56,    -5.00,    40.00
0.200,          ,   6.81,  -0.12,   3.95,    66.50,    -8.06,    36.31
0.205,          ,   6.81,  -0.12,   3.95,    63.75,   -12.00,    33.12
0.210,          ,   6.83,  -0.12,   4.06,    63.75,   -12.00,    33.12
0.215,          ,   6.83,  -0.12,   4.06,    60.25,   -15.44,    30.81
0.220,          ,   7.09,  -0.26,   4.04,    60.25,   -15.44,    30.81
0.225,          ,   7.09,  -0.26,   4.04,    56.31,   -16.19,    28.12
0.230,          ,   7.42,  -0.36,   3.99,    56.31,   -16.19,    28.12
0.235,          ,   7.42,  -0.36,   3.99,    51.50,   -10.75,    24.88
0.240,          ,   7.34,  -0.80,   3.61,    51.50,   -10.75,    24.88
0.245,          ,   7.17,  -1.01,   3.72,    47.12,    -2.75,    22.06
0.250,          ,   7.17,  -1.01,   3.72,    47.12,    -2.75,    22.06
0.260,          ,   7.23,  -1.14,   4.00,    43.19,    -0.81,    20.44
0.265,          ,   7.23,  -1.14,   4.00,    39.00,    -5.00,    20.56
0.270,          ,   7.43,  -1.21,   4.32,    39.00,    -5.00,    20.56
0.275,          ,   7.43,  -1.21,   4.32,    39.00,    -5.00,    20.56
0.280,          ,   7.74,  -1.01,   4.62,    35.44,    -7.19,    20.56
0.285,          ,   8.15,  -0.82,   4.55,    30.19,   -11.19,    20.06
0.290,          ,   8.15,  -0.82,   4.55,    30.19,   -11.19,    20.06
0.300,          ,   8.41,  -0.54,   4.44,    23.88,   -17.06,    19.88
0.305,          ,   8.41,  -0.54,   4.44,    18.69,   -17.94,    19.00
0.325,          ,   8.54,  -0.24,   4.45,    18.69,   -17.94,    19.00
0.330,          ,   8.72,  -0.17,   4.41,    13.69,   -16.00,    13.44
0.340,          ,   8.94,  -0.16,   4.35,    10.31,   -14.69,     8.75
0.345,          ,   8.94,  -0.16,   4.35,     6.81,   -11.81,     4.56
0.350,          ,   9.17,  -0.33,   3.92,     6.81,   -11.81,     4.56
0.355,          ,   9.07,  -0.46,   3.89,     4.75,    -6.44,     0.62
